"Category","Date","Location"
"Cases","March 31, 2014","National"
"Cases","April 01, 2014","National"
"Cases","April 04, 2014","Macenta"
"Cases","April 04, 2014","Gueckedou"
"Cases","April 04, 2014","Kissidougou"
"Cases","April 04, 2014","Conakry"
"Cases","April 04, 2014","National"
"Cases","April 07, 2014","National"
"Cases","April 07, 2014","Dinguiraye"
"Cases","April 07, 2014","Conakry"
"Cases","April 07, 2014","Kissidougou"
"Cases","April 07, 2014","Gueckedou"
"Cases","April 07, 2014","Macenta"
"Cases","April 07, 2014","Dabola"
"Cases","April 08, 2014","Conakry"
"Cases","April 08, 2014","National"
"Cases","April 08, 2014","Dabola"
"Cases","April 08, 2014","Kissidougou"
"Cases","April 08, 2014","Macenta"
"Cases","April 08, 2014","Dinguiraye"
"Cases","April 08, 2014","Gueckedou"
"Cases","April 09, 2014","National"
"Cases","April 09, 2014","Dinguiraye"
"Cases","April 09, 2014","Gueckedou"
"Cases","April 09, 2014","Dabola"
"Cases","April 09, 2014","Conakry"
"Cases","April 09, 2014","Kissidougou"
"Cases","April 09, 2014","Macenta"
"Cases","April 10, 2014","Conakry"
"Cases","April 10, 2014","Bong"
"Cases","April 10, 2014","Dabola"
"Cases","April 10, 2014","Dinguiraye"
"Cases","April 10, 2014","Nimba"
"Cases","April 10, 2014","Margibi"
"Cases","April 10, 2014","Gueckedou"
"Cases","April 10, 2014","Macenta"
"Cases","April 10, 2014","Kissidougou"
"Cases","April 10, 2014","Montserrado"
"Cases","April 10, 2014","Grand Cape Mount"
"Cases","April 10, 2014","Lofa"
"Cases","April 10, 2014","National"
"Cases","April 11, 2014","Nimba"
"Cases","April 11, 2014","Kissidougou"
"Cases","April 11, 2014","Margibi"
"Cases","April 11, 2014","Macenta"
"Cases","April 11, 2014","Lofa"
"Cases","April 11, 2014","Dabola"
"Cases","April 11, 2014","Dinguiraye"
"Cases","April 11, 2014","National"
"Cases","April 11, 2014","Grand Cape Mount"
"Cases","April 11, 2014","Conakry"
"Cases","April 11, 2014","Bong"
"Cases","April 11, 2014","Gueckedou"
"Cases","April 11, 2014","Montserrado"
"Cases","April 13, 2014","Lofa"
"Cases","April 13, 2014","Kissidougou"
"Cases","April 13, 2014","Bong"
"Cases","April 13, 2014","Grand Cape Mount"
"Cases","April 13, 2014","Dabola"
"Cases","April 13, 2014","Gueckedou"
"Cases","April 13, 2014","Macenta"
"Cases","April 13, 2014","Conakry"
"Cases","April 13, 2014","Dinguiraye"
"Cases","April 13, 2014","Nimba"
"Cases","April 13, 2014","National"
"Cases","April 13, 2014","Montserrado"
"Cases","April 13, 2014","Margibi"
"Cases","April 14, 2014","Nimba"
"Cases","April 14, 2014","Macenta"
"Cases","April 14, 2014","Margibi"
"Cases","April 14, 2014","Lofa"
"Cases","April 14, 2014","Kissidougou"
"Cases","April 14, 2014","National"
"Cases","April 14, 2014","Gueckedou"
"Cases","April 14, 2014","Grand Cape Mount"
"Cases","April 14, 2014","Montserrado"
"Cases","April 14, 2014","Dinguiraye"
"Cases","April 14, 2014","Dabola"
"Cases","April 14, 2014","Conakry"
"Cases","April 14, 2014","Bong"
"Cases","April 16, 2014","National"
"Cases","April 16, 2014","Margibi"
"Cases","April 16, 2014","Macenta"
"Cases","April 16, 2014","Lofa"
"Cases","April 16, 2014","Nimba"
"Cases","April 16, 2014","Kissidougou"
"Cases","April 16, 2014","Dabola"
"Cases","April 16, 2014","Dinguiraye"
"Cases","April 16, 2014","Gueckedou"
"Cases","April 16, 2014","Montserrado"
"Cases","April 16, 2014","Conakry"
"Cases","April 16, 2014","Grand Cape Mount"
"Cases","April 16, 2014","Bong"
"Cases","April 17, 2014","National"
"Cases","April 17, 2014","Montserrado"
"Cases","April 17, 2014","Macenta"
"Cases","April 17, 2014","Lofa"
"Cases","April 17, 2014","Kissidougou"
"Cases","April 17, 2014","Grand Cape Mount"
"Cases","April 17, 2014","Nimba"
"Cases","April 17, 2014","Dinguiraye"
"Cases","April 17, 2014","Margibi"
"Cases","April 17, 2014","Dabola"
"Cases","April 17, 2014","Conakry"
"Cases","April 17, 2014","Bong"
"Cases","April 17, 2014","Gueckedou"
"Cases","April 18, 2014","National"
"Cases","April 18, 2014","Montserrado"
"Cases","April 18, 2014","Margibi"
"Cases","April 18, 2014","Macenta"
"Cases","April 18, 2014","Grand Cape Mount"
"Cases","April 18, 2014","Kissidougou"
"Cases","April 18, 2014","Gueckedou"
"Cases","April 18, 2014","Lofa"
"Cases","April 18, 2014","Dinguiraye"
"Cases","April 18, 2014","Dabola"
"Cases","April 18, 2014","Conakry"
"Cases","April 18, 2014","Nimba"
"Cases","April 18, 2014","Bong"
"Cases","April 20, 2014","Kissidougou"
"Cases","April 20, 2014","Gueckedou"
"Cases","April 20, 2014","Grand Cape Mount"
"Cases","April 20, 2014","Dinguiraye"
"Cases","April 20, 2014","Dabola"
"Cases","April 20, 2014","Bong"
"Cases","April 20, 2014","Lofa"
"Cases","April 20, 2014","Conakry"
"Cases","April 20, 2014","Nimba"
"Cases","April 20, 2014","National"
"Cases","April 20, 2014","Montserrado"
"Cases","April 20, 2014","Margibi"
"Cases","April 20, 2014","Macenta"
"Cases","April 21, 2014","Nimba"
"Cases","April 21, 2014","National"
"Cases","April 21, 2014","Margibi"
"Cases","April 21, 2014","Macenta"
"Cases","April 21, 2014","Lofa"
"Cases","April 21, 2014","Kissidougou"
"Cases","April 21, 2014","Gueckedou"
"Cases","April 21, 2014","Grand Cape Mount"
"Cases","April 21, 2014","Dinguiraye"
"Cases","April 21, 2014","Montserrado"
"Cases","April 21, 2014","Dabola"
"Cases","April 21, 2014","Conakry"
"Cases","April 21, 2014","Bong"
"Cases","April 23, 2014","National"
"Cases","April 23, 2014","Montserrado"
"Cases","April 23, 2014","Margibi"
"Cases","April 23, 2014","Macenta"
"Cases","April 23, 2014","Lofa"
"Cases","April 23, 2014","Kissidougou"
"Cases","April 23, 2014","Gueckedou"
"Cases","April 23, 2014","Grand Gedeh"
"Cases","April 23, 2014","Grand Cape Mount"
"Cases","April 23, 2014","Dinguiraye"
"Cases","April 23, 2014","Dabola"
"Cases","April 23, 2014","Conakry"
"Cases","April 23, 2014","Nimba"
"Cases","April 23, 2014","Bong"
"Cases","April 24, 2014","Nimba"
"Cases","April 24, 2014","National"
"Cases","April 24, 2014","Margibi"
"Cases","April 24, 2014","Macenta"
"Cases","April 24, 2014","Lofa"
"Cases","April 24, 2014","Kissidougou"
"Cases","April 24, 2014","Gueckedou"
"Cases","April 24, 2014","Grand Gedeh"
"Cases","April 24, 2014","Grand Cape Mount"
"Cases","April 24, 2014","Dinguiraye"
"Cases","April 24, 2014","Montserrado"
"Cases","April 24, 2014","Dabola"
"Cases","April 24, 2014","Conakry"
"Cases","April 24, 2014","Bong"
"Cases","April 26, 2014","National"
"Cases","April 26, 2014","Montserrado"
"Cases","April 26, 2014","Margibi"
"Cases","April 26, 2014","Macenta"
"Cases","April 26, 2014","Lofa"
"Cases","April 26, 2014","Kissidougou"
"Cases","April 26, 2014","Gueckedou"
"Cases","April 26, 2014","Grand Gedeh"
"Cases","April 26, 2014","Grand Cape Mount"
"Cases","April 26, 2014","Dinguiraye"
"Cases","April 26, 2014","Dabola"
"Cases","April 26, 2014","Conakry"
"Cases","April 26, 2014","Nimba"
"Cases","April 26, 2014","Bong"
"Cases","May 01, 2014","Nimba"
"Cases","May 01, 2014","National"
"Cases","May 01, 2014","Margibi"
"Cases","May 01, 2014","Macenta"
"Cases","May 01, 2014","Lofa"
"Cases","May 01, 2014","Kissidougou"
"Cases","May 01, 2014","Gueckedou"
"Cases","May 01, 2014","Grand Gedeh"
"Cases","May 01, 2014","Grand Cape Mount"
"Cases","May 01, 2014","Dinguiraye"
"Cases","May 01, 2014","Montserrado"
"Cases","May 01, 2014","Dabola"
"Cases","May 01, 2014","Conakry"
"Cases","May 01, 2014","Bong"
"Cases","May 02, 2014","National"
"Cases","May 02, 2014","Montserrado"
"Cases","May 02, 2014","Margibi"
"Cases","May 02, 2014","Macenta"
"Cases","May 02, 2014","Lofa"
"Cases","May 02, 2014","Kissidougou"
"Cases","May 02, 2014","Gueckedou"
"Cases","May 02, 2014","Grand Gedeh"
"Cases","May 02, 2014","Grand Cape Mount"
"Cases","May 02, 2014","Dinguiraye"
"Cases","May 02, 2014","Dabola"
"Cases","May 02, 2014","Conakry"
"Cases","May 02, 2014","Nimba"
"Cases","May 02, 2014","Bong"
"Cases","May 03, 2014","Nimba"
"Cases","May 03, 2014","National"
"Cases","May 03, 2014","Montserrado"
"Cases","May 03, 2014","Margibi"
"Cases","May 03, 2014","Macenta"
"Cases","May 03, 2014","Lofa"
"Cases","May 03, 2014","Kissidougou"
"Cases","May 03, 2014","Gueckedou"
"Cases","May 03, 2014","Grand Gedeh"
"Cases","May 03, 2014","Grand Cape Mount"
"Cases","May 03, 2014","Dinguiraye"
"Cases","May 03, 2014","Dabola"
"Cases","May 03, 2014","Conakry"
"Cases","May 03, 2014","Bong"
"Cases","May 05, 2014","Nimba"
"Cases","May 05, 2014","National"
"Cases","May 05, 2014","Montserrado"
"Cases","May 05, 2014","Margibi"
"Cases","May 05, 2014","Macenta"
"Cases","May 05, 2014","Lofa"
"Cases","May 05, 2014","Kissidougou"
"Cases","May 05, 2014","Gueckedou"
"Cases","May 05, 2014","Grand Gedeh"
"Cases","May 05, 2014","Grand Cape Mount"
"Cases","May 05, 2014","Dinguiraye"
"Cases","May 05, 2014","Dabola"
"Cases","May 05, 2014","Conakry"
"Cases","May 05, 2014","Bong"
